#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
DUEA01000031.1	1	30062	2797	26656	88.6701	12.8085	40.2	24.3
DUEA01004115.1	1	27930	10240	15412	55.1808	47.7295	40.1	39
DUEA01000032.1	1	18115	1707	12892	71.1675	11.6196	40.1	31.1
DUEA01000033.1	1	16974	1200	14930	87.9581	9.45741	40.1	36.5
DUEA01000034.1	1	16181	904	12582	77.7579	7.67826	40.1	30.5
DUEA01000035.1	1	15621	1146	11998	76.8069	9.41611	40.2	36.1
DUEA01000036.1	1	14826	1026	11427	77.0741	9.41812	40.1	44.3
DUEA01000037.1	1	14577	832	9726	66.7215	7.59127	40	34.2
DUEA01000038.1	1	12937	599	5081	39.2749	6.1052	40	58.7
DUEA01000039.1	1	12559	1540	12393	98.6782	17.1886	40.2	27.2
DUEA01000040.1	1	12509	813	9859	78.8153	8.71421	40.1	31.9
DUEA01000041.1	1	12023	618	10604	88.1976	7.04691	40.1	17.1
DUEA01000042.1	1	12003	418	5556	46.2884	4.54828	40	40.2
DUEA01000043.1	1	11191	1077	10230	91.4127	13.3164	40.2	47.8
DUEA01000044.1	1	10720	902	9982	93.1157	11.5828	40.1	36.2
DUEA01000045.1	1	10609	678	7757	73.1172	8.67198	40.1	32.6
DUEA01000046.1	1	10506	795	9546	90.8624	10.7883	40.3	33.1
DUEA01000047.1	1	10120	789	9521	94.081	9.97994	40.1	29
DUEA01000048.1	1	9514	784	8719	91.6439	10.7915	40.2	32.7
